Date,Open,High,Low,Close,Adj Close,Volume
2019/2/25,43.540001,43.967499,43.487499,43.557499,42.801495,87493600
2019/2/26,43.427502,43.825001,43.2925,43.5825,42.826061,68280800
2019/2/27,43.302502,43.75,43.182499,43.717499,42.958721,111341600
2019/2/28,43.580002,43.727501,43.23,43.287498,42.536182,112861600
2019/3/1,43.57,43.787498,43.2225,43.7425,42.98328,103544800
2019/3/4,43.922501,44.4375,43.4925,43.962502,43.199471,109744800
2019/3/5,43.985001,44,43.634998,43.8825,43.120853,78949600
2019/3/6,43.6675,43.872501,43.485001,43.630001,42.872742,83241600
2019/3/7,43.467499,43.610001,43.005001,43.125,42.376507,99185600
2019/3/8,42.580002,43.267502,42.375,43.227501,42.477226,95997600
2019/3/11,43.872501,44.779999,43.837502,44.724998,43.94873,128044000
2019/3/12,45,45.6675,44.842499,45.227501,44.442513,129870400
2019/3/13,45.5625,45.825001,45.23,45.427502,44.639038,124130000
2019/3/14,45.974998,46.025002,45.639999,45.932499,45.135273,94318000
2019/3/15,46.212502,46.8325,45.935001,46.529999,45.722401,156171600
2019/3/18,46.450001,47.0975,46.447498,47.005001,46.189163,104879200
2019/3/19,47.087502,47.247501,46.48,46.6325,45.823128,126585600
2019/3/20,46.557499,47.372501,46.182499,47.040001,46.223557,124140800
2019/3/21,47.505001,49.0825,47.452499,48.772499,47.92598,204136800
2019/3/22,48.834999,49.422501,47.695,47.762501,46.933514,169630800
2019/3/25,47.877499,47.994999,46.650002,47.185001,46.366032,175381200
2019/3/26,47.915001,48.220001,46.145,46.697498,45.886997,199202000
2019/3/27,47.1875,47.439999,46.637501,47.1175,46.299709,119393600
2019/3/28,47.237499,47.389999,46.8825,47.18,46.361122,83121600
2019/3/29,47.4575,47.52,47.134998,47.487499,46.663288,94256000
2019/4/1,47.91,47.919998,47.095001,47.810001,46.980194,111448000
2019/4/2,47.772499,48.615002,47.762501,48.505001,47.663128,91062800
2019/4/3,48.3125,49.125,48.287498,48.837502,47.989861,93087200
2019/4/4,48.697498,49.092499,48.285,48.922501,48.073376,76457200
2019/4/5,49.112499,49.275002,48.982498,49.25,48.395191,74106400
2019/4/8,49.105,50.057499,49.084999,50.025002,49.156742,103526800
2019/4/9,50.080002,50.712502,49.807499,49.875,49.009346,143072800
2019/4/10,49.669998,50.185001,49.544998,50.154999,49.284485,86781200
2019/4/11,50.212502,50.25,49.610001,49.737499,48.874233,83603200
2019/4/12,49.799999,50.035,49.052502,49.717499,48.85458,111042800
2019/4/15,49.645,49.962502,49.502499,49.807499,48.943016,70146400
2019/4/16,49.865002,50.342499,49.639999,49.8125,48.947933,102785600
2019/4/17,49.884998,50.845001,49.6525,50.782501,49.901096,115627200
2019/4/18,50.779999,51.037498,50.630001,50.965,50.080433,96783200
2019/4/22,50.7075,51.235001,50.584999,51.1325,50.245026,77758000
2019/4/23,51.107498,51.9375,50.974998,51.869999,50.969719,93292000
2019/4/24,51.84,52.119999,51.762501,51.790001,50.891109,70162400
2019/4/25,51.7075,51.939999,51.279999,51.32,50.429272,74172800
2019/4/26,51.224998,51.25,50.529999,51.075001,50.188522,74596400
2019/4/29,51.099998,51.4925,50.965,51.1525,50.264679,88818800
2019/4/30,50.764999,50.849998,49.7775,50.1675,49.296772,186139600
2019/5/1,52.470001,53.827499,52.307499,52.630001,51.716534,259309200
2019/5/2,52.459999,53.162498,52.032501,52.287498,51.379974,127985200
2019/5/3,52.7225,52.959999,52.557499,52.9375,52.018696,83569600
2019/5/6,51.072498,52.209999,50.875,52.119999,51.215385,129772400
2019/5/7,51.470001,51.855,50.2075,50.715,49.834774,155054800
2019/5/8,50.474998,51.334999,50.4375,50.724998,49.844593,105358000
2019/5/9,50.099998,50.419998,49.165001,50.18,49.309052,139634400
2019/5/10,49.355,49.712502,48.192501,49.294998,48.625954,164834800
2019/5/13,46.927502,47.369999,45.712502,46.43,45.799843,229722400
2019/5/14,46.602501,47.424999,46.352501,47.165001,46.524864,146118800
2019/5/15,46.567501,47.9375,46.505001,47.73,47.082195,106178800
2019/5/16,47.477501,48.1175,47.209999,47.52,46.87505,132125600
2019/5/17,46.732498,47.724998,46.689999,47.25,46.608715,131516400
2019/5/20,45.880001,46.087502,45.07,45.772499,45.151264,154449200
2019/5/21,46.305,47,46.174999,46.650002,46.016857,113459200
2019/5/22,46.165001,46.427502,45.637501,45.695,45.074814,118994400
2019/5/23,44.950001,45.134998,44.452499,44.915001,44.305401,146118800
2019/5/24,45.049999,45.535,44.654999,44.7425,44.135246,94858800
2019/5/28,44.73,45.147499,44.477501,44.557499,43.952755,111792800
2019/5/29,44.105,44.837502,44,44.345001,43.743137,113924800
2019/5/30,44.487499,44.807499,44.1675,44.575001,43.97002,84873600
2019/5/31,44.057499,44.497501,43.747501,43.767502,43.173477,108174400
2019/6/3,43.900002,44.48,42.567501,43.325001,42.736977,161584400
2019/6/4,43.860001,44.9575,43.630001,44.91,44.300468,123872000
2019/6/5,46.07,46.247501,45.285,45.634998,45.015621,119093600
2019/6/6,45.77,46.3675,45.537498,46.305,45.676537,90105200
2019/6/7,46.627499,47.98,46.442501,47.537498,46.892303,122737600
2019/6/10,47.952499,48.842499,47.904999,48.145,47.491562,104883600
2019/6/11,48.715,49,48.400002,48.702499,48.041492,107731600
2019/6/12,48.487499,48.9925,48.3475,48.547501,47.888603,73012800
2019/6/13,48.674999,49.197498,48.400002,48.537498,47.878731,86698400
2019/6/14,47.887501,48.397499,47.575001,48.185001,47.531021,75046000
2019/6/17,48.224998,48.740002,48.0425,48.4725,47.814621,58676400
2019/6/18,49.012501,50.072498,48.802502,49.612499,48.939144,106204000
2019/6/19,49.919998,49.970001,49.327499,49.467499,48.796116,84496800
2019/6/20,50.092499,50.1525,49.5075,49.865002,49.188217,86056000
2019/6/21,49.700001,50.212502,49.537498,49.695,49.020523,191202400
2019/6/24,49.634998,50.040001,49.5425,49.645,48.971203,72881600
2019/6/25,49.607498,49.814999,48.822498,48.892502,48.22892,84281200
2019/6/26,49.442501,50.247501,49.337502,49.950001,49.272068,104270000
2019/6/27,50.072498,50.392502,49.892502,49.935001,49.257271,83598800
2019/6/28,49.669998,49.875,49.262501,49.48,48.808441,124442400
2019/7/1,50.7925,51.122501,50.162498,50.387501,49.703632,109012000
2019/7/2,50.352501,50.782501,50.34,50.682499,49.994621,67740800
2019/7/3,50.82,51.110001,50.672501,51.102501,50.40892,45448000
2019/7/5,50.837502,51.27,50.724998,51.057499,50.364529,69062000
2019/7/8,50.202499,50.349998,49.602501,50.005001,49.326317,101354400
2019/7/9,49.799999,50.377499,49.702499,50.310001,49.627182,82312000
2019/7/10,50.462502,50.932499,50.389999,50.807499,50.117928,71588400
2019/7/11,50.827499,51.0975,50.427502,50.4375,49.752949,80767200
2019/7/12,50.612499,51,50.549999,50.825001,50.135193,70380800
2019/7/15,51.022499,51.467499,51,51.302502,50.606209,67789600
2019/7/16,51.147499,51.5275,50.875,51.125,50.431118,67467200
2019/7/17,51.012501,51.272499,50.817501,50.837502,50.147518,56430000
2019/7/18,51,51.470001,50.924999,51.415001,50.717182,74162400
2019/7/19,51.447498,51.625,50.59,50.647499,49.960094,83717200
2019/7/22,50.912498,51.807499,50.9025,51.805,51.101891,89111600
2019/7/23,52.115002,52.227501,51.822498,52.209999,51.501389,73420800
2019/7/24,51.9175,52.287498,51.7925,52.1675,51.459473,59966400
2019/7/25,52.2225,52.310001,51.682499,51.755001,51.05257,55638400
2019/7/26,51.869999,52.432499,51.785,51.935001,51.230125,70475600
2019/7/29,52.115002,52.66,52.110001,52.419998,51.708538,86693600
2019/7/30,52.189999,52.540001,51.827499,52.195,51.486591,135742800
2019/7/31,54.105,55.342499,52.825001,53.259998,52.53714,277125600
2019/8/1,53.474998,54.5075,51.685001,52.107498,51.40028,216071600
2019/8/2,51.3825,51.607498,50.407501,51.005001,50.312748,163448400
2019/8/5,49.497501,49.662498,48.145,48.334999,47.678982,209572000
2019/8/6,49.077499,49.517502,48.509998,49.25,48.581562,143299200
2019/8/7,48.852501,49.889999,48.455002,49.759998,49.084641,133457600
2019/8/8,50.049999,50.8825,49.8475,50.857498,50.167248,108038000
2019/8/9,50.325001,50.689999,49.822498,50.247501,49.753849,98478800
2019/8/12,49.904999,50.512501,49.787498,50.119999,49.627602,89927600
2019/8/13,50.255001,53.035,50.119999,52.2425,51.729252,188874000
2019/8/14,50.790001,51.610001,50.647499,50.6875,50.189526,146189600
2019/8/15,50.865002,51.285,49.9175,50.435001,49.939507,108909600
2019/8/16,51.07,51.790001,50.959999,51.625,51.117813,110481600
2019/8/19,52.654999,53.182499,52.5075,52.587502,52.070862,97654400
2019/8/20,52.720001,53.337502,52.580002,52.59,52.073338,107537200
2019/8/21,53.247501,53.412498,52.900002,53.16,52.637737,86141600
2019/8/22,53.297501,53.610001,52.6875,53.115002,52.593182,89014800
2019/8/23,52.357498,53.012501,50.25,50.66,50.1623,187272000
2019/8/26,51.465,51.797501,51.264999,51.622501,51.115337,104174400
2019/8/27,51.965,52.137501,50.8825,51.040001,50.538563,103493200
2019/8/28,51.025002,51.43,50.830002,51.3825,50.877701,63755200
2019/8/29,52.125,52.330002,51.665001,52.252499,51.739151,83962000
2019/8/30,52.540001,52.612499,51.799999,52.185001,51.672314,84573600
2019/9/3,51.607498,51.744999,51.055,51.424999,50.919777,80092000
2019/9/4,52.0975,52.369999,51.830002,52.297501,51.783714,76752400
2019/9/5,53,53.4925,52.877499,53.32,52.796162,95654800
2019/9/6,53.512501,53.605,53.127499,53.314999,52.79121,77449200
2019/9/9,53.709999,54.110001,52.767502,53.5425,53.016479,109237600
2019/9/10,53.465,54.195,52.927502,54.174999,53.642761,127111600
2019/9/11,54.517502,55.927502,54.432499,55.897499,55.348343,177158400
2019/9/12,56.200001,56.605,55.715,55.772499,55.224567,128906800
2019/9/13,55,55.197498,54.255001,54.6875,54.15023,159053200
2019/9/16,54.432499,55.032501,54.389999,54.974998,54.434902,84632400
2019/9/17,54.990002,55.205002,54.779999,55.174999,54.632942,73274800
2019/9/18,55.264999,55.712502,54.860001,55.692501,55.145359,101360000
2019/9/19,55.502499,55.939999,55.092499,55.240002,54.697304,88242400
2019/9/20,55.345001,55.639999,54.3675,54.432499,53.897728,221652400
2019/9/23,54.737499,54.959999,54.412498,54.68,54.142803,76662000
2019/9/24,55.2575,55.622501,54.297501,54.419998,53.885353,124763200
2019/9/25,54.637501,55.375,54.285,55.2575,54.714626,87613600
2019/9/26,55,55.235001,54.7075,54.9725,54.43243,75334000
2019/9/27,55.134998,55.240002,54.32,54.705002,54.167561,101408000
2019/9/30,55.224998,56.145,55.197498,55.9925,55.442406,103909600
2019/10/1,56.267502,57.055,56.049999,56.147499,55.595886,139223200
2019/10/2,55.764999,55.895,54.482498,54.740002,54.202213,138449200
2019/10/3,54.607498,55.240002,53.782501,55.205002,54.662643,114426000
2019/10/4,56.41,56.872501,55.9725,56.752499,56.194942,138478800
2019/10/7,56.567501,57.482498,56.459999,56.764999,56.207317,122306000
2019/10/8,56.455002,57.014999,56.0825,56.099998,55.548851,111820000
2019/10/9,56.7575,56.947498,56.41,56.7575,56.199894,74770400
2019/10/10,56.982498,57.610001,56.825001,57.522499,56.957375,113013600
2019/10/11,58.237499,59.41,58.077499,59.052502,58.472343,166795600
2019/10/14,58.724998,59.532501,58.6675,58.967499,58.38818,96427600
2019/10/15,59.0975,59.412498,58.720001,58.830002,58.252033,87360000
2019/10/16,58.342499,58.810001,58.299999,58.592499,58.016861,73903200
2019/10/17,58.772499,59.037498,58.380001,58.82,58.24213,67585200
2019/10/18,58.647499,59.395,58.572498,59.102501,58.521858,97433600
2019/10/21,59.380001,60.247501,59.330002,60.127499,59.536781,87247200
2019/10/22,60.290001,60.549999,59.904999,59.990002,59.400635,82293600
2019/10/23,60.525002,60.810001,60.305,60.794998,60.197727,75828800
